topic,sentiment,date,month,count
User Interface and Functionality,negative,2023-04-09 20:28:03,2023-04-01,1
Freedom of Speech and Expression,positive,2023-04-21 23:02:41,2023-04-01,1
User Interface and Functionality,negative,2023-04-07 16:38:42,2023-04-01,1
User Interface and Functionality,negative,2023-04-07 16:38:42,2023-04-01,1
User Interface and Functionality,negative,2023-04-07 16:38:42,2023-04-01,1
Algorithm and Content Curation,negative,2023-04-22 19:47:00,2023-04-01,1
User Interface and Functionality,negative,2023-04-22 19:47:00,2023-04-01,1
User Interface and Functionality,positive,2023-04-22 19:47:00,2023-04-01,1
Misinformation and Fake Accounts,positive,2023-04-14 15:24:17,2023-04-01,1
Freedom of Speech and Expression,positive,2023-04-14 15:24:17,2023-04-01,1
Notifications and Alerts,negative,2023-04-18 20:34:30,2023-04-01,1
App Updates and Changes,negative,2023-04-18 20:34:30,2023-04-01,1
User Interface and Functionality,negative,2023-05-07 12:12:09,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-07 12:12:09,2023-05-01,1
Account Management,negative,2023-05-07 12:12:09,2023-05-01,1
Privacy and Security,negative,2023-05-02 16:39:18,2023-05-01,1
User Interface and Functionality,negative,2023-05-02 16:39:18,2023-05-01,1
Account Management,negative,2023-05-02 16:39:18,2023-05-01,1
Account Management,negative,2023-05-12 03:25:41,2023-05-01,1
Account Management,negative,2023-05-12 03:25:41,2023-05-01,1
Customer Service,negative,2023-05-12 03:25:41,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-16 21:11:48,2023-05-01,1
Leadership and Decision Making,positive,2023-05-12 12:10:42,2023-05-01,1
User Interface and Functionality,positive,2023-05-12 12:10:42,2023-05-01,1
Algorithm and Content Curation,positive,2023-05-12 12:10:42,2023-05-01,1
User Interface and Functionality,negative,2023-05-07 02:10:01,2023-05-01,1
News and Information Sharing,mixed,2023-05-07 02:10:01,2023-05-01,1
Mental Health and User Impact,negative,2023-05-07 02:10:01,2023-05-01,1
Advertising and Monetization,negative,2023-05-20 04:53:39,2023-05-01,1
User Interface and Functionality,negative,2023-05-20 04:53:39,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-20 04:53:39,2023-05-01,1
News and Information Sharing,positive,2023-05-04 10:07:20,2023-05-01,1
Account Management,negative,2023-05-28 15:40:49,2023-05-01,1
Leadership and Decision Making,negative,2023-05-28 15:40:49,2023-05-01,1
User Interface and Functionality,negative,2023-05-28 15:40:49,2023-05-01,1
Account Management,negative,2023-05-27 12:27:50,2023-05-01,1
Account Management,negative,2023-05-27 12:27:50,2023-05-01,1
Freedom of Speech and Expression,negative,2023-05-27 12:27:50,2023-05-01,1
Social Networking and Engagement,positive,2023-05-24 04:24:07,2023-05-01,1
Content Moderation and Censorship,neutral,2023-05-24 04:24:07,2023-05-01,1
Misinformation and Fake Accounts,positive,2023-05-24 04:24:07,2023-05-01,1
Account Management,negative,2023-05-27 06:07:36,2023-05-01,1
Account Management,negative,2023-05-27 06:07:36,2023-05-01,1
Customer Service,negative,2023-05-27 06:07:36,2023-05-01,1
User Interface and Functionality,positive,2023-05-11 12:57:53,2023-05-01,1
User Interface and Functionality,positive,2023-05-11 12:57:53,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-09 19:57:11,2023-05-01,1
Notifications and Alerts,negative,2023-05-09 19:57:11,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-09 19:57:11,2023-05-01,1
Leadership and Decision Making,positive,2023-05-01 11:22:55,2023-05-01,1
Advertising and Monetization,positive,2023-05-01 11:22:55,2023-05-01,1
Social Networking and Engagement,positive,2023-05-12 11:09:10,2023-05-01,1
Content Moderation and Censorship,positive,2023-05-07 18:27:15,2023-05-01,1
Advertising and Monetization,negative,2023-05-07 18:27:15,2023-05-01,1
Platform Policies and Guidelines,negative,2023-05-04 08:17:11,2023-05-01,1
News and Information Sharing,positive,2023-05-27 22:20:24,2023-05-01,1
News and Information Sharing,positive,2023-05-27 22:20:24,2023-05-01,1
Social Networking and Engagement,positive,2023-05-27 22:20:24,2023-05-01,1
User Interface and Functionality,positive,2023-05-09 21:23:30,2023-05-01,1
News and Information Sharing,positive,2023-05-09 21:23:30,2023-05-01,1
News and Information Sharing,positive,2023-05-09 21:23:30,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-09 18:21:40,2023-05-01,1
User Interface and Functionality,positive,2023-05-09 18:21:40,2023-05-01,1
Business and Advertising Tools,neutral,2023-05-09 18:21:40,2023-05-01,1
User Interface and Functionality,positive,2023-05-18 04:07:18,2023-05-01,1
Leadership and Decision Making,positive,2023-05-18 04:07:18,2023-05-01,1
Leadership and Decision Making,positive,2023-05-14 18:39:47,2023-05-01,1
Advertising and Monetization,positive,2023-05-14 18:39:47,2023-05-01,1
Leadership and Decision Making,positive,2023-05-14 18:39:47,2023-05-01,1
User Interface and Functionality,positive,2023-05-15 02:34:55,2023-05-01,1
User Interface and Functionality,positive,2023-05-15 02:34:55,2023-05-01,1
Social Networking and Engagement,positive,2023-05-15 02:34:55,2023-05-01,1
Privacy and Security,negative,2023-05-19 08:17:10,2023-05-01,1
Account Management,negative,2023-05-19 08:17:10,2023-05-01,1
Customer Service,negative,2023-05-19 08:17:10,2023-05-01,1
Leadership and Decision Making,positive,2023-05-04 14:25:45,2023-05-01,1
Algorithm and Content Curation,neutral,2023-05-21 01:59:34,2023-05-01,1
User Interface and Functionality,negative,2023-05-21 01:59:34,2023-05-01,1
User Interface and Functionality,positive,2023-05-21 01:59:34,2023-05-01,1
Account Management,positive,2023-05-20 23:21:49,2023-05-01,1
Advertising and Monetization,positive,2023-05-20 23:21:49,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-12 14:20:27,2023-05-01,1
App Updates and Changes,negative,2023-05-12 14:20:27,2023-05-01,1
Account Management,negative,2023-05-12 14:20:27,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-10 05:50:12,2023-05-01,1
Content Moderation and Censorship,positive,2023-05-10 05:50:12,2023-05-01,1
User Interface and Functionality,positive,2023-05-10 05:50:12,2023-05-01,1
User Interface and Functionality,positive,2023-05-12 12:22:54,2023-05-01,1
User Interface and Functionality,positive,2023-05-12 12:22:54,2023-05-01,1
User Interface and Functionality,negative,2023-05-12 12:22:54,2023-05-01,1
Social Networking and Engagement,positive,2023-05-22 11:42:14,2023-05-01,1
Community and Content,positive,2023-05-22 11:42:14,2023-05-01,1
Advertising and Monetization,negative,2023-05-19 13:23:30,2023-05-01,1
News and Information Sharing,negative,2023-05-19 13:23:30,2023-05-01,1
Account Management,negative,2023-05-06 04:21:51,2023-05-01,1
Customer Service,negative,2023-05-06 04:21:51,2023-05-01,1
Customer Service,negative,2023-05-06 04:21:51,2023-05-01,1
News and Information Sharing,positive,2023-05-07 20:34:52,2023-05-01,1
User Interface and Functionality,positive,2023-05-07 20:34:52,2023-05-01,1
Content Moderation and Censorship,neutral,2023-05-07 20:34:52,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-23 06:51:41,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-23 06:51:41,2023-05-01,1
Leadership and Decision Making,positive,2023-05-23 06:51:41,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-12 02:44:26,2023-05-01,1
Leadership and Decision Making,neutral,2023-05-12 02:44:26,2023-05-01,1
User Interface and Functionality,negative,2023-05-12 05:39:39,2023-05-01,1
Misinformation and Fake Accounts,positive,2023-05-02 02:27:31,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-02 02:27:31,2023-05-01,1
User Interface and Functionality,positive,2023-05-02 17:55:35,2023-05-01,1
User Interface and Functionality,positive,2023-05-02 17:55:35,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-13 16:14:44,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-13 16:14:44,2023-05-01,1
Social Networking and Engagement,positive,2023-05-13 16:14:44,2023-05-01,1
User Interface and Functionality,positive,2023-05-22 17:07:18,2023-05-01,1
Notifications and Alerts,negative,2023-05-15 01:41:20,2023-05-01,1
Account Management,negative,2023-05-15 01:41:20,2023-05-01,1
Advertising and Monetization,negative,2023-05-15 01:41:20,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-21 02:18:34,2023-05-01,1
Account Management,negative,2023-05-21 02:18:34,2023-05-01,1
Misinformation and Fake Accounts,neutral,2023-05-12 05:46:32,2023-05-01,1
Algorithm and Content Curation,positive,2023-05-25 03:12:36,2023-05-01,1
Leadership and Decision Making,positive,2023-05-25 03:12:36,2023-05-01,1
User Interface and Functionality,positive,2023-05-25 03:12:36,2023-05-01,1
App Updates and Changes,negative,2023-05-03 09:39:14,2023-05-01,1
User Interface and Functionality,negative,2023-05-03 09:39:14,2023-05-01,1
User Interface and Functionality,negative,2023-05-03 09:39:14,2023-05-01,1
News and Information Sharing,positive,2023-05-01 12:12:45,2023-05-01,1
Social Networking and Engagement,positive,2023-05-01 12:12:45,2023-05-01,1
Social Networking and Engagement,positive,2023-05-01 12:12:45,2023-05-01,1
User Interface and Functionality,negative,2023-05-08 17:06:41,2023-05-01,1
User Interface and Functionality,negative,2023-05-08 17:06:41,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-08 17:06:41,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-26 01:06:10,2023-05-01,1
Leadership and Decision Making,negative,2023-05-26 01:06:10,2023-05-01,1
User Interface and Functionality,negative,2023-05-26 01:06:10,2023-05-01,1
Leadership and Decision Making,positive,2023-05-26 01:21:04,2023-05-01,1
Account Management,negative,2023-05-06 19:53:58,2023-05-01,1
Account Management,negative,2023-05-06 19:53:58,2023-05-01,1
Customer Service,negative,2023-05-06 19:53:58,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-03 02:40:40,2023-05-01,1
Privacy and Security,positive,2023-05-03 02:40:40,2023-05-01,1
Privacy and Security,negative,2023-05-17 19:08:03,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-17 19:08:03,2023-05-01,1
Leadership and Decision Making,positive,2023-05-17 19:08:03,2023-05-01,1
User Interface and Functionality,positive,2023-05-03 15:19:18,2023-05-01,1
Misinformation and Fake Accounts,neutral,2023-05-03 15:19:18,2023-05-01,1
Content Moderation and Censorship,positive,2023-05-26 16:10:59,2023-05-01,1
Account Management,positive,2023-05-26 16:10:59,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-26 16:10:59,2023-05-01,1
User Interface and Functionality,positive,2023-05-17 10:26:31,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-17 10:26:31,2023-05-01,1
News and Information Sharing,neutral,2023-05-17 10:26:31,2023-05-01,1
Community and Content,positive,2023-05-29 14:48:21,2023-05-01,1
Advertising and Monetization,negative,2023-05-31 23:13:54,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-31 23:13:54,2023-05-01,1
App Updates and Changes,negative,2023-05-15 19:34:36,2023-05-01,1
User Interface and Functionality,negative,2023-05-15 19:34:36,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-15 19:34:36,2023-05-01,1
Content Moderation and Censorship,positive,2023-05-03 03:45:02,2023-05-01,1
Social Networking and Engagement,positive,2023-05-03 03:45:02,2023-05-01,1
News and Information Sharing,positive,2023-05-19 03:45:52,2023-05-01,1
Community and Content,positive,2023-05-19 03:45:52,2023-05-01,1
Social Networking and Engagement,positive,2023-05-19 03:45:52,2023-05-01,1
Freedom of Speech and Expression,neutral,2023-05-03 09:00:15,2023-05-01,1
Misinformation and Fake Accounts,negative,2023-05-03 09:00:15,2023-05-01,1
Account Management,negative,2023-05-03 09:00:15,2023-05-01,1
User Interface and Functionality,neutral,2023-05-16 16:26:54,2023-05-01,1
Social Networking and Engagement,negative,2023-05-16 16:26:54,2023-05-01,1
Advertising and Monetization,negative,2023-05-16 16:26:54,2023-05-01,1
User Interface and Functionality,negative,2023-05-17 02:33:22,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-17 02:33:22,2023-05-01,1
Social Networking and Engagement,positive,2023-05-23 12:59:03,2023-05-01,1
Social Networking and Engagement,positive,2023-05-23 12:59:03,2023-05-01,1
Social Networking and Engagement,positive,2023-05-23 12:59:03,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-16 10:16:35,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-16 10:16:35,2023-05-01,1
Account Management,negative,2023-05-16 10:16:35,2023-05-01,1
Notifications and Alerts,negative,2023-05-26 22:13:27,2023-05-01,1
User Interface and Functionality,negative,2023-05-26 22:13:27,2023-05-01,1
Advertising and Monetization,negative,2023-05-26 22:13:27,2023-05-01,1
News and Information Sharing,positive,2023-05-18 13:01:24,2023-05-01,1
Community and Content,negative,2023-05-18 13:01:24,2023-05-01,1
Leadership and Decision Making,negative,2023-05-18 13:01:24,2023-05-01,1
Leadership and Decision Making,negative,2023-05-13 00:33:35,2023-05-01,1
User Interface and Functionality,negative,2023-05-13 00:33:35,2023-05-01,1
User Interface and Functionality,neutral,2023-05-13 00:33:35,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-01 11:18:26,2023-05-01,1
Content Moderation and Censorship,positive,2023-05-01 11:18:26,2023-05-01,1
User Interface and Functionality,negative,2023-05-02 15:35:35,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-02 15:35:35,2023-05-01,1
Customer Service,neutral,2023-05-02 15:35:35,2023-05-01,1
User Interface and Functionality,positive,2023-05-11 21:53:52,2023-05-01,1
User Interface and Functionality,positive,2023-05-11 21:53:52,2023-05-01,1
Freedom of Speech and Expression,neutral,2023-05-15 14:29:55,2023-05-01,1
Freedom of Speech and Expression,neutral,2023-05-15 14:29:55,2023-05-01,1
User Interface and Functionality,positive,2023-05-15 14:29:55,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-24 16:07:37,2023-05-01,1
Leadership and Decision Making,negative,2023-05-05 15:57:16,2023-05-01,1
Community and Content,negative,2023-05-05 15:57:16,2023-05-01,1
Community and Content,negative,2023-05-05 15:57:16,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-08 11:49:22,2023-05-01,1
Leadership and Decision Making,positive,2023-05-08 11:49:22,2023-05-01,1
User Interface and Functionality,negative,2023-05-08 23:50:34,2023-05-01,1
Content Moderation and Censorship,negative,2023-05-08 23:50:34,2023-05-01,1
User Interface and Functionality,negative,2023-05-08 23:50:34,2023-05-01,1
Account Management,negative,2023-05-23 14:58:00,2023-05-01,1
User Interface and Functionality,negative,2023-05-23 14:58:00,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-27 01:06:39,2023-05-01,1
User Interface and Functionality,negative,2023-05-27 01:06:39,2023-05-01,1
User Interface and Functionality,negative,2023-05-27 01:06:39,2023-05-01,1
News and Information Sharing,positive,2023-05-14 18:04:07,2023-05-01,1
App Updates and Changes,positive,2023-05-14 18:04:07,2023-05-01,1
Leadership and Decision Making,neutral,2023-05-14 18:04:07,2023-05-01,1
User Interface and Functionality,negative,2023-05-29 00:59:50,2023-05-01,1
Algorithm and Content Curation,negative,2023-05-29 00:59:50,2023-05-01,1
User Interface and Functionality,positive,2023-05-02 08:03:32,2023-05-01,1
Leadership and Decision Making,positive,2023-05-02 08:03:32,2023-05-01,1
Leadership and Decision Making,positive,2023-05-02 08:03:32,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-27 23:58:49,2023-05-01,1
App Updates and Changes,negative,2023-05-27 23:58:49,2023-05-01,1
Account Management,positive,2023-05-27 23:58:49,2023-05-01,1
App Updates and Changes,positive,2023-05-09 18:10:53,2023-05-01,1
App Updates and Changes,negative,2023-05-09 18:10:53,2023-05-01,1
User Interface and Functionality,negative,2023-05-09 18:10:53,2023-05-01,1
User Interface and Functionality,negative,2023-05-13 06:33:20,2023-05-01,1
User Interface and Functionality,negative,2023-05-13 06:33:20,2023-05-01,1
Social Networking and Engagement,negative,2023-05-16 18:54:51,2023-05-01,1
User Interface and Functionality,negative,2023-05-16 18:54:51,2023-05-01,1
User Interface and Functionality,neutral,2023-05-16 18:54:51,2023-05-01,1
News and Information Sharing,positive,2023-05-24 20:24:05,2023-05-01,1
Social Networking and Engagement,negative,2023-05-13 21:10:38,2023-05-01,1
Leadership and Decision Making,positive,2023-05-13 21:10:38,2023-05-01,1
Social Networking and Engagement,positive,2023-05-13 21:10:38,2023-05-01,1
Freedom of Speech and Expression,positive,2023-05-18 21:50:36,2023-05-01,1
User Interface and Functionality,negative,2023-06-12 05:00:35,2023-06-01,1
Algorithm and Content Curation,negative,2023-06-12 05:00:35,2023-06-01,1
News and Information Sharing,negative,2023-06-12 05:00:35,2023-06-01,1
Social Networking and Engagement,positive,2023-06-12 14:02:11,2023-06-01,1
Social Networking and Engagement,positive,2023-06-12 14:02:11,2023-06-01,1
News and Information Sharing,positive,2023-06-14 13:47:57,2023-06-01,1
Platform Policies and Guidelines,positive,2023-06-14 13:47:57,2023-06-01,1
Customer Service,neutral,2023-06-09 03:53:54,2023-06-01,1
User Interface and Functionality,positive,2023-06-09 03:53:54,2023-06-01,1
User Interface and Functionality,negative,2023-06-09 19:23:20,2023-06-01,1
Social Networking and Engagement,positive,2023-06-19 07:49:18,2023-06-01,1
Social Networking and Engagement,positive,2023-06-19 07:49:18,2023-06-01,1
Social Networking and Engagement,neutral,2023-06-19 07:49:18,2023-06-01,1
News and Information Sharing,negative,2023-06-03 20:19:51,2023-06-01,1
News and Information Sharing,negative,2023-06-03 20:19:51,2023-06-01,1
News and Information Sharing,negative,2023-06-03 20:19:51,2023-06-01,1
Account Management,negative,2023-06-12 07:01:59,2023-06-01,1
Customer Service,negative,2023-06-12 07:01:59,2023-06-01,1
Advertising and Monetization,negative,2023-06-12 07:01:59,2023-06-01,1
Customer Service,negative,2023-06-29 00:03:51,2023-06-01,1
Platform Policies and Guidelines,negative,2023-06-29 00:03:51,2023-06-01,1
Account Management,negative,2023-06-29 00:03:51,2023-06-01,1
User Interface and Functionality,positive,2023-06-19 01:09:27,2023-06-01,1
Mental Health and User Impact,negative,2023-06-19 01:09:27,2023-06-01,1
Freedom of Speech and Expression,neutral,2023-06-19 01:09:27,2023-06-01,1
User Interface and Functionality,positive,2023-06-09 16:04:50,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-09 16:04:50,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-14 11:00:55,2023-06-01,1
Algorithm and Content Curation,negative,2023-06-14 11:00:55,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-14 11:00:55,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-16 19:59:27,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-13 12:57:49,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-13 12:57:49,2023-06-01,1
Customer Service,negative,2023-06-13 12:57:49,2023-06-01,1
User Interface and Functionality,negative,2023-06-09 05:06:22,2023-06-01,1
Community and Content,positive,2023-06-10 14:34:23,2023-06-01,1
Leadership and Decision Making,positive,2023-06-16 16:11:24,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-16 16:11:24,2023-06-01,1
App Updates and Changes,positive,2023-06-16 16:11:24,2023-06-01,1
App Updates and Changes,positive,2023-06-09 16:05:55,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-09 16:05:55,2023-06-01,1
Freedom of Speech and Expression,neutral,2023-06-09 16:05:55,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-02 05:58:43,2023-06-01,1
Advertising and Monetization,negative,2023-06-02 05:58:43,2023-06-01,1
User Interface and Functionality,neutral,2023-06-02 05:58:43,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-16 00:18:44,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-11 15:32:06,2023-06-01,1
Content Moderation and Censorship,positive,2023-06-11 15:32:06,2023-06-01,1
Leadership and Decision Making,positive,2023-06-11 15:32:06,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-09 21:20:43,2023-06-01,1
Customer Service,negative,2023-06-09 21:20:43,2023-06-01,1
User Interface and Functionality,negative,2023-06-13 21:12:18,2023-06-01,1
User Interface and Functionality,negative,2023-06-13 21:12:18,2023-06-01,1
User Interface and Functionality,negative,2023-06-13 21:12:18,2023-06-01,1
Leadership and Decision Making,negative,2023-06-12 05:45:57,2023-06-01,1
Misinformation and Fake Accounts,negative,2023-06-12 05:45:57,2023-06-01,1
Customer Service,negative,2023-06-12 05:45:57,2023-06-01,1
Leadership and Decision Making,positive,2023-06-08 19:13:15,2023-06-01,1
Platform Policies and Guidelines,neutral,2023-06-08 19:13:15,2023-06-01,1
App Updates and Changes,positive,2023-06-14 04:02:47,2023-06-01,1
Social Networking and Engagement,positive,2023-06-14 04:02:47,2023-06-01,1
User Interface and Functionality,positive,2023-06-14 04:02:47,2023-06-01,1
User Interface and Functionality,negative,2023-06-06 14:46:26,2023-06-01,1
Privacy and Security,negative,2023-06-06 14:46:26,2023-06-01,1
User Interface and Functionality,negative,2023-06-06 14:46:26,2023-06-01,1
Account Management,negative,2023-06-26 20:51:49,2023-06-01,1
Customer Service,negative,2023-06-26 20:51:49,2023-06-01,1
User Interface and Functionality,negative,2023-06-04 02:24:57,2023-06-01,1
User Interface and Functionality,negative,2023-06-04 02:24:57,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-24 16:28:06,2023-06-01,1
Social Networking and Engagement,neutral,2023-06-24 16:28:06,2023-06-01,1
Content Moderation and Censorship,neutral,2023-06-24 16:28:06,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-23 23:27:31,2023-06-01,1
User Interface and Functionality,negative,2023-06-23 23:27:31,2023-06-01,1
Account Management,negative,2023-06-23 05:53:12,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-23 05:53:12,2023-06-01,1
Mental Health and User Impact,negative,2023-06-23 05:53:12,2023-06-01,1
Leadership and Decision Making,positive,2023-06-10 19:57:30,2023-06-01,1
Leadership and Decision Making,positive,2023-06-10 19:57:30,2023-06-01,1
Social Networking and Engagement,neutral,2023-06-18 17:37:25,2023-06-01,1
App Updates and Changes,positive,2023-06-18 17:37:25,2023-06-01,1
User Interface and Functionality,neutral,2023-06-04 01:34:51,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-12 13:42:13,2023-06-01,1
Leadership and Decision Making,negative,2023-06-12 13:42:13,2023-06-01,1
Advertising and Monetization,neutral,2023-06-12 13:42:13,2023-06-01,1
User Interface and Functionality,negative,2023-06-11 17:09:34,2023-06-01,1
User Interface and Functionality,negative,2023-06-11 17:09:34,2023-06-01,1
Misinformation and Fake Accounts,negative,2023-06-24 02:20:09,2023-06-01,1
User Interface and Functionality,negative,2023-06-24 02:20:09,2023-06-01,1
Content Moderation and Censorship,neutral,2023-06-24 02:20:09,2023-06-01,1
Social Networking and Engagement,positive,2023-06-18 01:09:46,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-18 01:09:46,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-18 01:09:46,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-02 15:21:49,2023-06-01,1
User Interface and Functionality,negative,2023-06-02 11:42:49,2023-06-01,1
Algorithm and Content Curation,negative,2023-06-02 11:42:49,2023-06-01,1
Customer Service,negative,2023-06-02 11:42:49,2023-06-01,1
Account Management,negative,2023-06-28 22:09:15,2023-06-01,1
Platform Policies and Guidelines,negative,2023-06-28 22:09:15,2023-06-01,1
User Interface and Functionality,negative,2023-06-28 22:09:15,2023-06-01,1
Account Management,negative,2023-06-12 09:44:25,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-12 09:44:25,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-03 15:10:17,2023-06-01,1
Misinformation and Fake Accounts,negative,2023-06-03 15:10:17,2023-06-01,1
News and Information Sharing,negative,2023-06-03 15:10:17,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-26 09:11:33,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-26 09:11:33,2023-06-01,1
Content Moderation and Censorship,positive,2023-06-16 12:33:07,2023-06-01,1
Notifications and Alerts,negative,2023-06-16 12:33:07,2023-06-01,1
Advertising and Monetization,neutral,2023-06-01 17:06:00,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-01 17:06:00,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-15 20:42:41,2023-06-01,1
Content Moderation and Censorship,positive,2023-06-15 20:42:41,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-15 20:42:41,2023-06-01,1
Algorithm and Content Curation,negative,2023-06-05 05:15:45,2023-06-01,1
Notifications and Alerts,negative,2023-06-05 05:15:45,2023-06-01,1
User Interface and Functionality,negative,2023-06-05 05:15:45,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-28 20:38:45,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-28 20:38:45,2023-06-01,1
User Interface and Functionality,negative,2023-06-28 20:38:45,2023-06-01,1
User Interface and Functionality,negative,2023-06-16 13:23:22,2023-06-01,1
User Interface and Functionality,negative,2023-06-18 06:26:57,2023-06-01,1
Platform Policies and Guidelines,negative,2023-06-18 06:26:57,2023-06-01,1
User Interface and Functionality,negative,2023-06-18 06:26:57,2023-06-01,1
Business and Advertising Tools,negative,2023-06-10 18:46:01,2023-06-01,1
Leadership and Decision Making,positive,2023-06-15 01:01:47,2023-06-01,1
User Interface and Functionality,positive,2023-06-15 01:01:47,2023-06-01,1
User Interface and Functionality,positive,2023-06-02 12:49:29,2023-06-01,1
User Interface and Functionality,negative,2023-06-01 06:24:31,2023-06-01,1
User Interface and Functionality,negative,2023-06-01 06:24:31,2023-06-01,1
User Interface and Functionality,negative,2023-06-01 06:24:31,2023-06-01,1
User Interface and Functionality,negative,2023-06-27 05:06:48,2023-06-01,1
User Interface and Functionality,negative,2023-06-27 05:06:48,2023-06-01,1
Social Networking and Engagement,negative,2023-06-25 06:15:28,2023-06-01,1
User Interface and Functionality,negative,2023-06-25 06:15:28,2023-06-01,1
Social Networking and Engagement,negative,2023-06-25 06:15:28,2023-06-01,1
Community and Content,positive,2023-06-24 23:47:59,2023-06-01,1
Algorithm and Content Curation,negative,2023-06-24 23:47:59,2023-06-01,1
Community and Content,neutral,2023-06-24 23:47:59,2023-06-01,1
Misinformation and Fake Accounts,negative,2023-06-03 20:37:22,2023-06-01,1
App Updates and Changes,negative,2023-06-03 20:37:22,2023-06-01,1
Advertising and Monetization,negative,2023-06-03 20:37:22,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-24 23:51:37,2023-06-01,1
User Interface and Functionality,negative,2023-06-24 23:51:37,2023-06-01,1
User Interface and Functionality,positive,2023-06-07 00:31:23,2023-06-01,1
Advertising and Monetization,positive,2023-06-07 00:31:23,2023-06-01,1
News and Information Sharing,positive,2023-06-07 00:31:23,2023-06-01,1
Privacy and Security,neutral,2023-06-02 13:14:14,2023-06-01,1
User Interface and Functionality,positive,2023-06-02 13:14:14,2023-06-01,1
Social Networking and Engagement,neutral,2023-06-02 13:14:14,2023-06-01,1
Advertising and Monetization,negative,2023-06-18 13:13:39,2023-06-01,1
User Interface and Functionality,negative,2023-06-18 13:13:39,2023-06-01,1
User Interface and Functionality,positive,2023-06-18 13:13:39,2023-06-01,1
App Updates and Changes,negative,2023-06-02 02:14:27,2023-06-01,1
User Interface and Functionality,negative,2023-06-02 02:14:27,2023-06-01,1
Content Moderation and Censorship,negative,2023-06-02 02:14:27,2023-06-01,1
Customer Service,negative,2023-06-05 13:47:04,2023-06-01,1
Business and Advertising Tools,negative,2023-06-05 13:47:04,2023-06-01,1
Advertising and Monetization,negative,2023-06-05 13:47:04,2023-06-01,1
Leadership and Decision Making,positive,2023-06-08 13:50:23,2023-06-01,1
User Interface and Functionality,positive,2023-06-03 23:35:19,2023-06-01,1
Account Management,positive,2023-06-03 23:35:19,2023-06-01,1
Freedom of Speech and Expression,positive,2023-06-03 23:35:19,2023-06-01,1
